CBSACode,MetroName,GroupCode,GroupName,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
10500,Albany GA Metro Area,454,United Pentecostal Church International,1,,,
10500,Albany GA Metro Area,124,Unity Churches Association of,1,,,
10540,Albany-Lebanon OR Metro Area,017,American Baptist Association,1,162,0.36,0.13
10540,Albany-Lebanon OR Metro Area,053,Assemblies of God,9,5523,12.13,4.29
10540,Albany-Lebanon OR Metro Area,056,"Baha'i Faith USA",1,152,0.33,0.12
10540,Albany-Lebanon OR Metro Area,059,Baptist Missionary Association of America,1,,,
10540,Albany-Lebanon OR Metro Area,063,Berean Fellowship of Churches,1,,,
10540,Albany-Lebanon OR Metro Area,084,Calvary Chapel Fellowship Churches,1,,,
10540,Albany-Lebanon OR Metro Area,081,Catholic Church,8,10969,24.10,8.53
10540,Albany-Lebanon OR Metro Area,089,Christian and Missionary Alliance,1,72,0.16,0.06
10540,Albany-Lebanon OR Metro Area,093,Christian Church (Disciples of Christ),2,300,0.66,0.23
10540,Albany-Lebanon OR Metro Area,097,Christian Churches and Churches of Christ,11,2228,4.90,1.73
10540,Albany-Lebanon OR Metro Area,143,Church of Christ Mennonite,1,201,0.44,0.16
10540,Albany-Lebanon OR Metro Area,123,Church of God (Anderson Indiana),3,378,0.83,0.29
10540,Albany-Lebanon OR Metro Area,127,Church of God (Cleveland Tennessee),1,210,0.46,0.16
10540,Albany-Lebanon OR Metro Area,133,Church of God (Seventh Day),1,,,
10540,Albany-Lebanon OR Metro Area,141,Church of God in Christ,1,400,0.88,0.31
10540,Albany-Lebanon OR Metro Area,145,Church of God of Prophecy,1,,,
10540,Albany-Lebanon OR Metro Area,151,Church of Jesus Christ of Latter-day Saints,11,5632,12.37,4.38
10540,Albany-Lebanon OR Metro Area,165,Church of the Nazarene,3,672,1.48,0.52
10540,Albany-Lebanon OR Metro Area,167,Churches of Christ,6,294,0.65,0.23
10540,Albany-Lebanon OR Metro Area,173,Community of Christ,1,,,
10540,Albany-Lebanon OR Metro Area,FFG,Concordia Lutheran Conference,1,,,
10540,Albany-Lebanon OR Metro Area,183,Conservative Mennonite Conference,1,325,0.71,0.25
10540,Albany-Lebanon OR Metro Area,193,Episcopal Church,2,182,0.40,0.14
10540,Albany-Lebanon OR Metro Area,197,Evangelical Church The,6,665,1.46,0.52
10540,Albany-Lebanon OR Metro Area,207,Evangelical Lutheran Church in America,4,1023,2.25,0.80
10540,Albany-Lebanon OR Metro Area,216,Evangelical Presbyterian Church,1,,,
10540,Albany-Lebanon OR Metro Area,263,Foursquare Gospel International Church of the,3,498,1.09,0.39
10540,Albany-Lebanon OR Metro Area,221,Free Methodist Church--USA,2,119,0.26,0.09
10540,Albany-Lebanon OR Metro Area,272,"Jehovah's Witnesses",7,1810,3.98,1.41
10540,Albany-Lebanon OR Metro Area,283,Lutheran Church--Missouri Synod,4,327,0.72,0.25
10540,Albany-Lebanon OR Metro Area,255,Lutheran Congregations in Mission for Christ,1,164,0.36,0.13
10540,Albany-Lebanon OR Metro Area,288,Mennonite Church USA,2,260,0.57,0.20
10540,Albany-Lebanon OR Metro Area,302,National Missionary Baptist Convention Inc.,1,126,0.28,0.10
10540,Albany-Lebanon OR Metro Area,500,Non-denominational Christian Churches,25,10610,23.31,8.25
10540,Albany-Lebanon OR Metro Area,339,Pentecostal Church of God,3,,,
10540,Albany-Lebanon OR Metro Area,355,Presbyterian Church (U.S.A.),3,317,0.70,0.25
10540,Albany-Lebanon OR Metro Area,FHG,Remnant: Charity Ministries and related,1,,,
10540,Albany-Lebanon OR Metro Area,403,Salvation Army,1,63,0.14,0.05
10540,Albany-Lebanon OR Metro Area,413,Seventh-day Adventist Church,4,638,1.40,0.50
10540,Albany-Lebanon OR Metro Area,419,Southern Baptist Convention,7,302,0.66,0.23
10540,Albany-Lebanon OR Metro Area,FGN,United Church of God,1,,,
10540,Albany-Lebanon OR Metro Area,449,United Methodist Church,4,483,1.06,0.38
10540,Albany-Lebanon OR Metro Area,454,United Pentecostal Church International,2,,,
10540,Albany-Lebanon OR Metro Area,179,Venture Church Network,1,,,
10540,Albany-Lebanon OR Metro Area,463,Vineyard USA,1,160,0.35,0.12
10540,Albany-Lebanon OR Metro Area,FD8,Western Conservative Mennonite Fellowship,2,250,0.55,0.19
10580,Albany-Schenectady-Troy NY Metro Area,003,African Methodist Episcopal Church,2,620,0.18,0.07
10580,Albany-Schenectady-Troy NY Metro Area,005,African Methodist Episcopal Zion Church,5,708,0.21,0.08
10580,Albany-Schenectady-Troy NY Metro Area,019,American Baptist Churches in the USA,22,3362,0.99,0.37
10580,Albany-Schenectady-Troy NY Metro Area,416,American Sikh Council,2,,,
10580,Albany-Schenectady-Troy NY Metro Area,031,Amish Groups undifferentiated,1,79,0.02,0.01
10580,Albany-Schenectady-Troy NY Metro Area,FG4,Anglican Church in America,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,033,Anglican Church in North America,2,,,
10580,Albany-Schenectady-Troy NY Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,2,210,0.06,0.02
10580,Albany-Schenectady-Troy NY Metro Area,049,Armenian Apostolic Church of America (Catholicosate of Cilicia),1,65,0.02,0.01
10580,Albany-Schenectady-Troy NY Metro Area,050,Armenian Church of North America (Catholicosate of Etchmiadzin),1,400,0.12,0.04
10580,Albany-Schenectady-Troy NY Metro Area,053,Assemblies of God,20,2410,0.71,0.27
10580,Albany-Schenectady-Troy NY Metro Area,055,Associate Reformed Presbyterian Church,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,056,"Baha'i Faith USA",1,216,0.06,0.02
10580,Albany-Schenectady-Troy NY Metro Area,059,Baptist Missionary Association of America,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,070,Bruderhof Communities Inc.,1,32,0.01,0.00
10580,Albany-Schenectady-Troy NY Metro Area,FFM,Catholic Apostolic Church in North America,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,081,Catholic Church,79,199722,58.73,22.21
10580,Albany-Schenectady-Troy NY Metro Area,FGS,Chabad Judaism,9,,,
10580,Albany-Schenectady-Troy NY Metro Area,089,Christian and Missionary Alliance,10,3007,0.88,0.33
10580,Albany-Schenectady-Troy NY Metro Area,353,Christian Brethren (Open Plymouth Brethren),3,,,
10580,Albany-Schenectady-Troy NY Metro Area,093,Christian Church (Disciples of Christ),2,0,0.00,0.00
10580,Albany-Schenectady-Troy NY Metro Area,097,Christian Churches and Churches of Christ,2,384,0.11,0.04
10580,Albany-Schenectady-Troy NY Metro Area,127,Church of God (Cleveland Tennessee),5,201,0.06,0.02
10580,Albany-Schenectady-Troy NY Metro Area,141,Church of God in Christ,5,1090,0.32,0.12
10580,Albany-Schenectady-Troy NY Metro Area,145,Church of God of Prophecy,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,151,Church of Jesus Christ of Latter-day Saints,6,3688,1.08,0.41
10580,Albany-Schenectady-Troy NY Metro Area,155,Church of Our Lord Jesus Christ of the Apostolic Faith Inc.,2,360,0.11,0.04
10580,Albany-Schenectady-Troy NY Metro Area,FFK,Church of the Genuine Orthodox Christians,1,70,0.02,0.01
10580,Albany-Schenectady-Troy NY Metro Area,165,Church of the Nazarene,1,85,0.02,0.01
10580,Albany-Schenectady-Troy NY Metro Area,167,Churches of Christ,7,509,0.15,0.06
10580,Albany-Schenectady-Troy NY Metro Area,172,Communion of Reformed Evangelical Churches,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,181,Conservative Congregational Christian Conference,5,507,0.15,0.06
10580,Albany-Schenectady-Troy NY Metro Area,270,Conservative Judaism,5,2690,0.79,0.30
10580,Albany-Schenectady-Troy NY Metro Area,057,Converge Worldwide / Baptist General Conference,3,,,
10580,Albany-Schenectady-Troy NY Metro Area,186,Coptic Orthodox Church,1,250,0.07,0.03
10580,Albany-Schenectady-Troy NY Metro Area,FFW,ECO: A Covenant Order of Presbyterians,2,,,
10580,Albany-Schenectady-Troy NY Metro Area,190,Elim Fellowship,5,,,
10580,Albany-Schenectady-Troy NY Metro Area,193,Episcopal Church,34,5852,1.72,0.65
10580,Albany-Schenectady-Troy NY Metro Area,201,Evangelical Covenant Church,2,251,0.07,0.03
10580,Albany-Schenectady-Troy NY Metro Area,207,Evangelical Lutheran Church in America,22,4678,1.38,0.52
10580,Albany-Schenectady-Troy NY Metro Area,216,Evangelical Presbyterian Church,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,221,Free Methodist Church--USA,2,107,0.03,0.01
10580,Albany-Schenectady-Troy NY Metro Area,393,Friends General Conference and Friends United Meeting dually aligned meetings,5,188,0.06,0.02
10580,Albany-Schenectady-Troy NY Metro Area,F23,Full Gospel Assemblies International,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,FFR,Full Gospel Christian Assemblies International,3,358,0.11,0.04
10580,Albany-Schenectady-Troy NY Metro Area,388,General Association of Regular Baptist Churches,3,,,
10580,Albany-Schenectady-Troy NY Metro Area,246,Greek Orthodox Archdiocese of America,3,1050,0.31,0.12
10580,Albany-Schenectady-Troy NY Metro Area,895,Hindu Temples,3,8731,2.57,0.97
10580,Albany-Schenectady-Troy NY Metro Area,896,Hindu Yoga and Meditation,2,119,0.03,0.01
10580,Albany-Schenectady-Troy NY Metro Area,264,International Churches of Christ,1,40,0.01,0.00
10580,Albany-Schenectady-Troy NY Metro Area,268,Jain,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,272,"Jehovah's Witnesses",23,5022,1.48,0.56
10580,Albany-Schenectady-Troy NY Metro Area,274,Latvian Evangelical Lutheran Church in America,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,283,Lutheran Church--Missouri Synod,11,2632,0.77,0.29
10580,Albany-Schenectady-Troy NY Metro Area,255,Lutheran Congregations in Mission for Christ,1,50,0.01,0.01
10580,Albany-Schenectady-Troy NY Metro Area,890,Mahayana Buddhist,1,32,0.01,0.00
10580,Albany-Schenectady-Troy NY Metro Area,334,Malankara Archdiocese of the Syrian Orthodox Church in North America,1,40,0.01,0.00
10580,Albany-Schenectady-Troy NY Metro Area,333,Malankara Orthodox Syrian Church,1,83,0.02,0.01
10580,Albany-Schenectady-Troy NY Metro Area,267,Muslim Estimate,8,10336,3.04,1.15
10580,Albany-Schenectady-Troy NY Metro Area,175,National Association of Congregational Christian Churches,2,156,0.05,0.02
10580,Albany-Schenectady-Troy NY Metro Area,300,"National Baptist Convention USA, Inc.",6,1966,0.58,0.22
10580,Albany-Schenectady-Troy NY Metro Area,302,National Missionary Baptist Convention Inc.,14,3970,1.17,0.44
10580,Albany-Schenectady-Troy NY Metro Area,309,New Apostolic Church USA,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,500,Non-denominational Christian Churches,74,31320,9.21,3.48
10580,Albany-Schenectady-Troy NY Metro Area,314,North American Lutheran Church,2,,,
10580,Albany-Schenectady-Troy NY Metro Area,331,Orthodox Church in America,3,405,0.12,0.05
10580,Albany-Schenectady-Troy NY Metro Area,276,Orthodox Judaism,6,900,0.26,0.10
10580,Albany-Schenectady-Troy NY Metro Area,335,Orthodox Presbyterian Church,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,352,Polish National Catholic Church,2,,,
10580,Albany-Schenectady-Troy NY Metro Area,355,Presbyterian Church (U.S.A.),32,2890,0.85,0.32
10580,Albany-Schenectady-Troy NY Metro Area,356,Presbyterian Church in America,3,459,0.13,0.05
10580,Albany-Schenectady-Troy NY Metro Area,271,Reform Judaism,4,3937,1.16,0.44
10580,Albany-Schenectady-Troy NY Metro Area,F41,Reformed Baptist Network,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,371,Reformed Church in America,42,7276,2.14,0.81
10580,Albany-Schenectady-Troy NY Metro Area,401,Russian Orthodox Church Outside of Russia,1,200,0.06,0.02
10580,Albany-Schenectady-Troy NY Metro Area,403,Salvation Army,4,814,0.24,0.09
10580,Albany-Schenectady-Troy NY Metro Area,415,Seventh Day Baptist General Conference USA and Canada,2,177,0.05,0.02
10580,Albany-Schenectady-Troy NY Metro Area,413,Seventh-day Adventist Church,10,1459,0.43,0.16
10580,Albany-Schenectady-Troy NY Metro Area,419,Southern Baptist Convention,15,1621,0.48,0.18
10580,Albany-Schenectady-Troy NY Metro Area,F54,The local churches,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,891,Theravada Buddhist,1,278,0.08,0.03
10580,Albany-Schenectady-Troy NY Metro Area,431,Ukrainian Orthodox Church of the USA,1,120,0.04,0.01
10580,Albany-Schenectady-Troy NY Metro Area,435,Unitarian Universalist Association of Congregations,4,1151,0.34,0.13
10580,Albany-Schenectady-Troy NY Metro Area,443,United Church of Christ,9,759,0.22,0.08
10580,Albany-Schenectady-Troy NY Metro Area,FGN,United Church of God,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,449,United Methodist Church,82,17469,5.14,1.94
10580,Albany-Schenectady-Troy NY Metro Area,454,United Pentecostal Church International,2,,,
10580,Albany-Schenectady-Troy NY Metro Area,124,Unity Churches Association of,1,,,
10580,Albany-Schenectady-Troy NY Metro Area,892,Vajarayana Buddhist,4,1160,0.34,0.13
10580,Albany-Schenectady-Troy NY Metro Area,179,Venture Church Network,7,,,
10580,Albany-Schenectady-Troy NY Metro Area,463,Vineyard USA,1,290,0.09,0.03
10580,Albany-Schenectady-Troy NY Metro Area,467,Wesleyan Church,3,803,0.24,0.09
10580,Albany-Schenectady-Troy NY Metro Area,469,Wisconsin Evangelical Lutheran Synod,1,275,0.08,0.03
10620,Albemarle NC Micro Area,005,African Methodist Episcopal Zion Church,5,908,2.45,1.45
10620,Albemarle NC Micro Area,053,Assemblies of God,4,965,2.60,1.54
10620,Albemarle NC Micro Area,055,Associate Reformed Presbyterian Church,1,,,
10620,Albemarle NC Micro Area,056,"Baha'i Faith USA",0,6,0.02,0.01
10620,Albemarle NC Micro Area,081,Catholic Church,1,2041,5.50,3.27
10620,Albemarle NC Micro Area,089,Christian and Missionary Alliance,1,63,0.17,0.10
10620,Albemarle NC Micro Area,127,Church of God (Cleveland Tennessee),7,871,2.35,1.39
10620,Albemarle NC Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,490,1.32,0.78
10620,Albemarle NC Micro Area,D59,Church of the Living God: Pillar and Ground of the Truth,1,,,
10620,Albemarle NC Micro Area,165,Church of the Nazarene,1,68,0.18,0.11
10620,Albemarle NC Micro Area,167,Churches of Christ,1,74,0.20,0.12
10620,Albemarle NC Micro Area,FFW,ECO: A Covenant Order of Presbyterians,1,,,
10620,Albemarle NC Micro Area,193,Episcopal Church,1,140,0.38,0.22
10620,Albemarle NC Micro Area,207,Evangelical Lutheran Church in America,4,1056,2.85,1.69
10620,Albemarle NC Micro Area,216,Evangelical Presbyterian Church,2,,,
10620,Albemarle NC Micro Area,263,Foursquare Gospel International Church of the,1,78,0.21,0.12
10620,Albemarle NC Micro Area,272,"Jehovah's Witnesses",3,656,1.77,1.05
10620,Albemarle NC Micro Area,255,Lutheran Congregations in Mission for Christ,1,40,0.11,0.06
10620,Albemarle NC Micro Area,223,National Association of Free Will Baptists,1,70,0.19,0.11
10620,Albemarle NC Micro Area,500,Non-denominational Christian Churches,15,2840,7.66,4.54
10620,Albemarle NC Micro Area,355,Presbyterian Church (U.S.A.),3,677,1.82,1.08
10620,Albemarle NC Micro Area,356,Presbyterian Church in America,2,473,1.28,0.76
10620,Albemarle NC Micro Area,413,Seventh-day Adventist Church,1,104,0.28,0.17
10620,Albemarle NC Micro Area,419,Southern Baptist Convention,65,19203,51.76,30.72
10620,Albemarle NC Micro Area,449,United Methodist Church,26,6200,16.71,9.92
10620,Albemarle NC Micro Area,467,Wesleyan Church,1,74,0.20,0.12
10660,Albert Lea MN Micro Area,019,American Baptist Churches in the USA,3,681,3.75,2.20
10660,Albert Lea MN Micro Area,053,Assemblies of God,1,175,0.96,0.57
10660,Albert Lea MN Micro Area,056,"Baha'i Faith USA",0,1,0.01,0.00
10660,Albert Lea MN Micro Area,081,Catholic Church,2,3032,16.68,9.81
10660,Albert Lea MN Micro Area,097,Christian Churches and Churches of Christ,1,180,0.99,0.58
10660,Albert Lea MN Micro Area,105,Christian Reformed Church in North America,1,85,0.47,0.28
10660,Albert Lea MN Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,325,1.79,1.05
10660,Albert Lea MN Micro Area,167,Churches of Christ,1,39,0.21,0.13
10660,Albert Lea MN Micro Area,181,Conservative Congregational Christian Conference,1,42,0.23,0.14
10660,Albert Lea MN Micro Area,FFW,ECO: A Covenant Order of Presbyterians,1,,,
10660,Albert Lea MN Micro Area,193,Episcopal Church,1,50,0.28,0.16
10660,Albert Lea MN Micro Area,201,Evangelical Covenant Church,1,215,1.18,0.70
10660,Albert Lea MN Micro Area,203,Evangelical Free Church of America,2,,,
10660,Albert Lea MN Micro Area,207,Evangelical Lutheran Church in America,23,10508,57.81,34.01
10660,Albert Lea MN Micro Area,209,Evangelical Lutheran Synod,3,661,3.64,2.14
10660,Albert Lea MN Micro Area,388,General Association of Regular Baptist Churches,1,,,
10660,Albert Lea MN Micro Area,272,"Jehovah's Witnesses",2,284,1.56,0.92
10660,Albert Lea MN Micro Area,283,Lutheran Church--Missouri Synod,2,534,2.94,1.73
10660,Albert Lea MN Micro Area,255,Lutheran Congregations in Mission for Christ,1,110,0.61,0.36
10660,Albert Lea MN Micro Area,500,Non-denominational Christian Churches,2,250,1.38,0.81
10660,Albert Lea MN Micro Area,314,North American Lutheran Church,1,,,
10660,Albert Lea MN Micro Area,371,Reformed Church in America,1,136,0.75,0.44
10660,Albert Lea MN Micro Area,403,Salvation Army,1,63,0.35,0.20
10660,Albert Lea MN Micro Area,413,Seventh-day Adventist Church,1,66,0.36,0.21
10660,Albert Lea MN Micro Area,449,United Methodist Church,3,501,2.76,1.62
10660,Albert Lea MN Micro Area,454,United Pentecostal Church International,2,,,
10660,Albert Lea MN Micro Area,463,Vineyard USA,1,240,1.32,0.78
10700,Albertville AL Micro Area,003,African Methodist Episcopal Church,2,200,0.32,0.20
10700,Albertville AL Micro Area,053,Assemblies of God,5,805,1.28,0.82
10700,Albertville AL Micro Area,056,"Baha'i Faith USA",0,5,0.01,0.01
10700,Albertville AL Micro Area,FE8,Bible Methodist Connection,1,,,
10700,Albertville AL Micro Area,081,Catholic Church,1,7903,12.53,8.10
10700,Albertville AL Micro Area,143,Church of Christ Mennonite,1,205,0.32,0.21
10700,Albertville AL Micro Area,123,Church of God (Anderson Indiana),2,144,0.23,0.15
10700,Albertville AL Micro Area,127,Church of God (Cleveland Tennessee),12,2196,3.48,2.25
10700,Albertville AL Micro Area,145,Church of God of Prophecy,2,,,
10700,Albertville AL Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,507,0.80,0.52
10700,Albertville AL Micro Area,155,Church of Our Lord Jesus Christ of the Apostolic Faith Inc.,1,100,0.16,0.10
10700,Albertville AL Micro Area,165,Church of the Nazarene,4,496,0.79,0.51
10700,Albertville AL Micro Area,167,Churches of Christ,21,2380,3.77,2.44
10700,Albertville AL Micro Area,180,Congregational Methodist Church,1,,,
10700,Albertville AL Micro Area,193,Episcopal Church,2,370,0.59,0.38
10700,Albertville AL Micro Area,272,"Jehovah's Witnesses",3,736,1.17,0.75
10700,Albertville AL Micro Area,283,Lutheran Church--Missouri Synod,1,42,0.07,0.04
10700,Albertville AL Micro Area,302,National Missionary Baptist Convention Inc.,3,560,0.89,0.57
10700,Albertville AL Micro Area,500,Non-denominational Christian Churches,13,5230,8.29,5.36
10700,Albertville AL Micro Area,355,Presbyterian Church (U.S.A.),2,164,0.26,0.17
10700,Albertville AL Micro Area,356,Presbyterian Church in America,1,131,0.21,0.13
10700,Albertville AL Micro Area,361,Primitive Baptists Associations,1,94,0.15,0.10
10700,Albertville AL Micro Area,413,Seventh-day Adventist Church,3,244,0.39,0.25
10700,Albertville AL Micro Area,419,Southern Baptist Convention,102,34847,55.23,35.70
